"name","time","Car","temp","pH","EC","t","chlla","S","TDS","GROUP"
"鯉魚潭水庫三","2017/1/9 上午 09:00:00",41,"20.9","8.6","362","2.7","3.1","0.009","1.1",2
"明德水庫一","2017/4/21 下午 01:50:00",54,"26.5","8.9","302","1.2","11","0.025","7.5",3
"明德水庫一","2017/3/3 下午 01:35:00",54,"19","8.2","258","1","8","0.025","5.8",3
"明德水庫一","2017/2/13 上午 10:05:00",53,"17.5","8.2","272","1.2","8.1","0.023","7.6",3
"明德水庫一","2017/1/11 下午 01:00:00",55,"23.5","8.6","266","0.7","6.2","0.025","7.1",3
"明德水庫二","2017/4/21 下午 02:11:00",53,"26.7","9.2","230","1.2","6.2","0.03","4",3
"明德水庫二","2017/3/3 下午 01:56:00",53,"18.6","8.3","254","1.2","7.6","0.025","3.9",3
"明德水庫二","2017/2/13 上午 10:25:00",52,"18","8.2","264","1.4","6.5","0.03","5.9",3
"明德水庫二","2017/1/11 下午 01:17:00",51,"23.2","9","233","1.4","5.2","0.027","2.3",3
"明德水庫三","2017/4/21 下午 02:24:00",53,"26","9.2","233","1.2","6.7","0.03","3.2",3
"明德水庫三","2017/3/3 下午 02:09:00",56,"18.7","8.6","249","1.2","16.3","0.028","4.2",3
"明德水庫三","2017/2/13 上午 10:40:00",52,"19.5","8.3","264","1.6","7.5","0.027","7.3",3
"明德水庫三","2017/1/11 下午 01:29:00",51,"22.9","9.1","230","1.4","4.3","0.03","2.1",3
"永和山水庫一","2017/4/21 上午 08:34:00",43,"25.5","8.8","225","2","2.1","0.013","2.8",2
"永和山水庫一","2017/3/3 上午 08:42:00",45,"17","7.5","268","2.1","4.3","0.014","2.7",2
"永和山水庫一","2017/2/7 上午 09:09:00",48,"18.5","8.2","243","1.8","8.1","0.013","2.9",2
"永和山水庫一","2017/1/11 上午 08:55:00",40,"20.4","8.1","237","2.8","1.5","0.012","2",2
"永和山水庫二","2017/4/21 上午 09:19:00",44,"25.3","8.9","226","1.8","2.2","0.015","2.8",2
"永和山水庫二","2017/3/3 上午 09:30:00",45,"17","8.1","233","2.2","3.6","0.015","2.1",2
"永和山水庫二","2017/2/7 上午 10:00:00",47,"18.6","8.3","241","1.4","6.2","0.011","3",2
"永和山水庫二","2017/1/11 上午 09:45:00",41,"20.4","8.4","238","2.7","1.4","0.015","2.1",2
"永和山水庫三","2017/4/21 上午 09:07:00",43,"25","8.7","225","1.8","1.4","0.014","3.4",2
"永和山水庫三","2017/3/3 上午 09:14:00",46,"17.1","8.1","230","2","4.4","0.015","2.5",2
"永和山水庫三","2017/2/7 上午 10:25:00",47,"18.8","8.2","245","1.8","5.2","0.014","3.2",2
"永和山水庫三","2017/1/11 上午 09:26:00",41,"20.5","8.5","236","2.8","1.4","0.015","1.6",2
"蘭潭水庫一","2017/4/18 上午 10:23:00",42,"27.9","8.3","375","2.2","1.5","0.016","1.5",2
"蘭潭水庫一","2017/3/14 上午 10:37:00",45,"22.2","8.6","357","1.7","2.6","0.015","1.8",2
"蘭潭水庫一","2017/2/14 上午 10:55:00",42,"21.6","8.4","360","2.5","1.7","0.014","1",2
"蘭潭水庫一","2017/1/12 上午 10:55:00",44,"23.5","8.2","362","1.8","2.4","0.014","2",2
"蘭潭水庫二","2017/4/18 上午 10:40:00",39,"27.2","8.4","369","3.2","1.2","0.014","1.4",1
"蘭潭水庫二","2017/3/14 上午 10:55:00",45,"21.6","8.6","357","1.8","2.8","0.015","1.5",2
"蘭潭水庫二","2017/2/14 上午 11:16:00",36,"20.9","8.5","359","2.4","0.5","0.01","1.2",1
"蘭潭水庫二","2017/1/12 上午 11:20:00",46,"23.6","8.2","359","1.7","2.7","0.016","1.6",2
"蘭潭水庫三","2017/4/18 上午 10:54:00",40,"27.5","8.5","366","3.1","1.2","0.017","1.6",2
"蘭潭水庫三","2017/3/14 上午 11:11:00",45,"21.8","8.6","356","1.8","2.4","0.015","1.7",2
"蘭潭水庫三","2017/2/14 上午 11:30:00",40,"21.2","8.5","358","2.3","1.1","0.013","1.1",2
"蘭潭水庫三","2017/1/12 上午 11:40:00",45,"23.6","8.2","356","1.7","2.1","0.017","2.4",2
"仁義潭水庫一","2017/4/18 上午 09:30:00",47,"28.2","8.5","407","1.2","1.5","0.021","6.1",2
"仁義潭水庫一","2017/3/14 上午 09:35:00",46,"22.5","8.6","392","1.3","1.5","0.021","4.3",2
"仁義潭水庫一","2017/2/14 上午 10:02:00",39,"20.9","8.6","386","1.3","0.3","0.015","3.4",1
"仁義潭水庫一","2017/1/12 上午 09:55:00",46,"22.8","8.6","375","1.7","2.9","0.017","2.5",2
"仁義潭水庫二","2017/4/18 上午 09:15:00",48,"29","8.5","405","1.3","2.2","0.023","4.8",2
"仁義潭水庫二","2017/3/14 上午 09:22:00",44,"22","8.6","386","1.6","1.4","0.016","2.6",2
"仁義潭水庫二","2017/2/14 上午 09:48:00",42,"20.6","8.6","385","1.3","0.8","0.014","3.3",2
"仁義潭水庫二","2017/1/12 上午 09:16:00",46,"22.9","8.5","377","1.7","2.9","0.016","2.3",2
"仁義潭水庫三","2017/4/18 上午 09:05:00",47,"28.1","8.6","406","1.4","1.6","0.024","5.7",2
"仁義潭水庫三","2017/3/14 上午 09:08:00",43,"21.7","8.6","389","1.6","1.1","0.016","2.9",2
"仁義潭水庫三","2017/2/14 上午 09:30:00",42,"20.5","8.6","386","1.5","0.7","0.018","3.4",2
"仁義潭水庫三","2017/1/12 上午 09:35:00",49,"22.9","8.5","374","1.3","3.3","0.022","2.2",2
"仁義潭水庫四","2017/4/18 上午 08:55:00",46,"27.9","8.6","410","1.6","2","0.02","4.1",2
"仁義潭水庫四","2017/3/14 上午 08:55:00",40,"21.7","8.6","387","1.5","0.5","0.015","2.5",2
"仁義潭水庫四","2017/2/14 上午 08:47:00",45,"19.6","8.5","387","1.6","2","0.016","3.4",2
"仁義潭水庫四","2017/1/12 上午 10:15:00",46,"23","8.6","370","1.6","3","0.014","2",2
"曾文水庫一","2017/4/14 上午 10:00:00",51,"25.2","8.5","285","1","6.4","0.016","6.3",3
"曾文水庫一","2017/3/7 上午 10:37:00",44,"22.5","8.4","355","1.6","2.1","0.014","2.7",2
"曾文水庫一","2017/2/6 上午 10:12:00",44,"23.1","8","264","1.3","1","0.019","4.6",2
"曾文水庫一","2017/1/11 上午 09:45:00",42,"24.9","8.2","256","1.8","0.9","0.018","2.8",2
"曾文水庫二","2017/4/14 上午 10:15:00",48,"25.5","8.5","287","1.1","3.5","0.015","7",2
"曾文水庫二","2017/3/7 上午 10:53:00",45,"22.6","8.4","271","1.6","2","0.018","4",2
