"name","time","Car","temp","pH","EC","t","chlla","S","TDS","GROUP"
"澄清湖水庫三","2017/3/16 上午 10:00:00",60,"24.7","8.1","616","0.7","6.3","0.072","60",3
"澄清湖水庫三","2017/2/18 上午 10:14:00",66,"23.1","8.2","622","0.4","12","0.095","70",3
"澄清湖水庫三","2017/1/16 上午 09:46:00",61,"22.2","8","591","0.3","4.7","0.048","36",3
"澄清湖水庫四","2017/4/19 下午 02:20:00",59,"31.1","8.2","562","0.4","5.4","0.035","8.8",3
"澄清湖水庫四","2017/3/16 上午 09:43:00",58,"24.6","8.1","607","1","7.3","0.058","14",3
"澄清湖水庫四","2017/2/18 上午 10:02:00",59,"22.4","8.2","614","0.7","5.8","0.065","19",3
"澄清湖水庫四","2017/1/16 上午 09:36:00",55,"22.2","8","586","0.6","3.9","0.029","15",3
"鳳山水庫一","2017/4/17 上午 10:18:00",86,"29.6","7.6","810","0.3","53.9","1.54","11",3
"鳳山水庫一","2017/3/17 上午 10:21:00",81,"26","7.6","745","0.5","21.7","1.63","14",3
"鳳山水庫一","2017/2/15 上午 10:30:00",76,"23.6","7.7","726","0.6","13.6","1.03","7.5",3
"鳳山水庫一","2017/1/13 上午 10:30:00",76,"25","8","600","0.6","24.9","0.639","12",3
"鳳山水庫二","2017/4/17 上午 10:10:00",90,"29.5","7.7","830","0.4","228","1.71","14",3
"鳳山水庫二","2017/3/17 上午 10:13:00",85,"25.7","7.7","767","0.4","83.7","1.46","18",3
"鳳山水庫二","2017/2/15 上午 10:14:00",79,"23.3","7.8","727","0.6","31.6","1.06","8.9",3
"鳳山水庫二","2017/1/13 上午 10:15:00",74,"25","8","597","0.6","18.3","0.59","9.6",3
"鳳山水庫三","2017/4/17 上午 10:00:00",91,"29.5","7.9","826","0.3","258","1.66","13",3
"鳳山水庫三","2017/3/17 上午 10:03:00",81,"25.6","7.6","769","0.6","49.1","1.33","12",3
"鳳山水庫三","2017/2/15 上午 10:40:00",82,"23.6","7.9","723","0.5","61.7","1.04","9.3",3
"鳳山水庫三","2017/1/13 上午 10:05:00",72,"24.8","8","597","0.7","12.8","0.578","6.6",3
"鳳山水庫四","2017/4/17 上午 09:30:00",84,"29.7","8.2","850","0.6","92","1.43","10",3
"鳳山水庫四","2017/3/17 上午 09:40:00",76,"25.4","7.5","758","0.9","23.2","1.14","4.8",3
"鳳山水庫四","2017/2/15 上午 09:45:00",83,"22.7","7.9","720","0.7","157","0.9","8.6",3
"鳳山水庫四","2017/1/13 上午 09:40:00",74,"24.7","8","599","0.8","26.2","0.636","5.8",3
"牡丹水庫一","2017/4/17 上午 10:58:00",43,"26.7","8.6","288","1.4","2.2","0.008","3.5",2
"牡丹水庫一","2017/3/15 上午 10:38:00",45,"21.1","8.5","266","1.8","3.3","0.012","2.4",2
"牡丹水庫一","2017/2/13 上午 10:53:00",44,"20.7","8.2","255","2.3","2.7","0.015","2.1",2
"牡丹水庫一","2017/1/13 上午 11:07:00",44,"22.2","8.3","262","3.6","4.6","0.017","2",2
"牡丹水庫二","2017/4/17 上午 10:39:00",45,"26.8","8.6","290","1.6","3.1","0.012","3.3",2
"牡丹水庫二","2017/3/15 上午 10:17:00",46,"21.3","8.5","267","1.6","4.3","0.012","2.5",2
"牡丹水庫二","2017/2/13 上午 10:36:00",42,"20.8","8.2","257","2.4","1.7","0.014","2.7",2
"牡丹水庫二","2017/1/13 上午 10:54:00",43,"22.2","8.3","261","3.3","3.6","0.016","1.7",2
"牡丹水庫三","2017/4/17 上午 10:20:00",49,"27.1","8.5","315","1","4.3","0.015","5.7",2
"牡丹水庫三","2017/3/15 上午 10:00:00",50,"21.1","8.5","275","1","3.7","0.019","4",2
"牡丹水庫三","2017/2/13 上午 10:15:00",41,"20.8","8.2","258","2","1","0.014","2",2
"牡丹水庫三","2017/1/13 上午 10:35:00",46,"22.4","8.3","295","2.4","4.2","0.018","2.1",2
"成功水庫","2017/2/13 上午 10:30:00",58,"14.5","8.8","1110","1","13.4","0.044","7.1",3
"興仁水庫","2017/2/13 上午 09:42:00",55,"16.9","8.7","1100","1.1","7.7","0.037","3.7",3
"東衛水庫","2017/2/13 上午 11:15:00",59,"16.7","8.9","1040","1","14.9","0.047","6.3",3
"西安水庫","2017/2/14 上午 11:30:00",47,"16.9","8.6","1400","1.3","2.5","0.016","2.9",2
"小池水庫","2017/2/13 下午 12:51:00",59,"16.7","8.7","1470","1","16.6","0.045","4.8",3
"七美水庫","2017/2/14 上午 11:45:00",63,"17","8.6","1260","0.7","14.2","0.082","11",3
"德基水庫五","2017/2/9 下午 12:20:00",55,"15.4","8.2","307","0.4","5.8","0.015","40",3
"德基水庫五","2017/1/10 上午 11:21:00",48,"16","8.4","255","1","2","0.02","6",2
"石門水庫六","2017/4/7 上午 09:28:00",50,"21.5","7","258","1.7","4","0.029","15",2
"石門水庫六","2017/3/9 上午 09:59:00",56,"16.2","8.1","250","0.8","4.5","0.047","25",3
"石門水庫六","2017/2/7 上午 09:27:00",48,"18","7.1","246","1.6","2.5","0.027","12",2
"石門水庫六","2017/1/6 上午 09:29:00",48,"20.3","7.1","217","2","5","0.019","2.2",2
"寶二水庫一","2017/2/7 下午 01:41:00",47,"19.1","7.9","287","1.5","4.1","0.015","3.3",2
"金湖","2017/1/17 上午 11:25:00",67,"16.3","8","1710","0.5","39.4","0.072","12",3
"蘭湖","2017/1/17 上午 08:20:00",58,"14.1","7.7","387","1.3","22.7","0.039","3.2",3
