Car,temp,pH,EC,TDS,GROUP
42,15.6,8.1,266,1.5,2
45,16.6,8,276,2.1,2
46,23,8.6,266,1.2,2
45,20.9,8.4,349,1.8,2
44,32.7,8.8,293,1.5,2
45,25.3,8.6,319,3.9,2
41,22.2,8,357,2,2
50,28.3,8.8,311,2.7,2
49,28,8.6,304,2.1,2
44,31.2,8.9,302,1.2,2
41,18.8,8.1,338,1.2,2
41,19.6,8.1,332,1,2
42,20.3,8.4,348,1.3,2
49,27.6,8.9,302,4.7,2
47,23,8.7,317,3.1,2
45,31.2,8.7,360,2.1,2
42,19.2,8,368,2.4,2
47,27.9,8.5,305,2.1,2
42,31.4,8.8,304,1.5,2
44,23.4,8.7,361,1.3,2
42,18.7,8.1,340,1.3,2
44,19.9,8.4,368,1.1,2
41,20.9,8.6,362,1.1,2
49,31.2,8.8,294,2.2,2
49,24.4,8.6,343,3.1,2
50,27.6,8.8,308,2.4,2
47,31.3,8.8,307,1.2,2
50,32,8,238,2,2
50,18,8,262,3.5,2
46,18.1,7.9,290,2.6,2
45,17,7.5,268,2.7,2
46,25,8.1,237,2.1,2
42,32.4,9,202,2.7,2
44,24.2,8.6,234,2.5,2
46,20.7,8,246,2,2
46,25.4,7.4,262,2.4,2
45,31,8.8,226,2,2
49,21.6,8.6,318,2.7,2
46,17.2,8,268,2.7,2
45,26.5,8.3,226,1.4,2
47,31.7,8.9,206,3.5,2
47,16.6,7.6,240,1.8,2
44,27.2,8.3,212,1.8,2
42,17,7.9,217,1.3,2
45,17,8.1,233,2.1,2
47,18.6,8.3,241,3,2
41,20.4,8.4,238,2.1,2
47,25.4,8,231,1.9,2
44,24.8,8.6,226,2.4,2
45,25.3,8.2,232,2.4,2
47,31.2,8.8,227,2,2
46,21.6,8.7,292,3.1,2
44,17.4,8,266,2.4,2
45,26.5,8.3,228,1.5,2
46,31.5,8.9,208,2.4,2
50,22.5,8.8,241,1.7,2
45,16.4,7.6,240,1.6,2
46,17.1,8.1,230,2.5,2
47,18.8,8.2,245,3.2,2
41,20.5,8.5,236,1.6,2
44,32.5,9,193,4,2
44,24.9,8.6,225,3.9,2
47,20.9,8.2,243,1.6,2
45,25.5,8.2,233,2.3,2
47,31.1,8.8,228,2.2,2
47,18.4,8.1,260,3.8,2
45,26.8,8.2,227,2.7,2
47,31.3,8.9,238,2.6,2
49,22.7,8.8,239,1.5,2
45,22.2,8.6,357,1.8,2
42,21.6,8.4,360,1,2
44,23.5,8.2,362,2,2
45,32.2,8.4,398,1.6,2
42,28.2,8.5,426,1.7,2
44,20.7,8.2,384,2.2,2
45,30.8,8.3,484,1.4,2
45,30.1,8.4,392,1.9,2
42,20.3,8.2,388,1.3,2
45,28.9,8.4,349,1.8,2
41,21.6,8.4,353,2.8,2
45,21.6,8.6,357,1.5,2
46,23.6,8.2,359,1.6,2
44,28.4,8.2,357,1.2,2
45,32,8.4,399,1.7,2
44,20.9,8.2,385,1.7,2
42,28.4,8.2,391,0.9,2
45,30.9,8.3,457,1.5,2
49,29.7,8.5,388,2.1,2
42,20,8.3,386,1.7,2
47,28.7,8.5,346,1.8,2
41,21.1,8.4,349,1.6,2
45,21.8,8.6,356,1.7,2
45,23.6,8.2,356,2.4,2
45,28.1,8.1,350,1.4,2
47,31.8,8.5,398,1.9,2
41,28.5,8.5,425,2.3,2
44,21.1,8.2,382,1.4,2
46,31,8.4,414,1.1,2
44,29.2,8.4,388,1.6,2
41,19.9,8.3,386,1.3,2
44,27.7,8.2,382,0.8,2
45,28.8,8.4,345,2.6,2
41,20.8,8.4,352,1.6,2
46,22.5,8.6,392,4.3,2
46,22.8,8.6,375,2.5,2
44,27.4,8.4,354,1.6,2
47,20.1,8.4,420,4,2
45,29.6,8.5,419,2.3,2
47,27.3,8.4,383,3.2,2
49,30.4,8.7,346,2.2,2
50,28.2,8.6,472,5.3,2
44,22,8.6,386,2.6,2
42,20.6,8.6,385,3.3,2
46,22.9,8.5,377,2.3,2
44,27.4,8.4,356,1.5,2
45,31.8,8.5,351,4,2
46,19.9,8.4,416,2.8,2
47,28,8.5,396,1.3,2
45,30,8.5,420,2.5,2
49,19.9,8.5,413,3,2
50,27.3,8.4,382,3.4,2
49,29.2,8.6,475,7.5,2
50,21.4,8.6,419,3.8,2
42,20.5,8.6,386,3.4,2
49,22.9,8.5,374,2.2,2
46,19.8,8.4,416,2.5,2
47,28.1,8.4,389,1.3,2
46,30.1,8.5,421,3.1,2
50,19.6,8.5,416,3.4,2
47,27.4,8.3,382,3.2,2
50,31.1,8.3,371,5.5,2
50,21.4,8.6,428,3.4,2
46.1,26.9,8.3,330,2.8,2
44,31.6,8.6,356,1.9,2
47.1,26.7,8.5,456,7.9,2
45,19.6,8.5,387,3.4,2
46,23,8.6,370,2,2
44,27,8.3,353,1.5,2
45,20,8.4,417,2.3,2
47,27.8,8.2,388,1,2
45,30.5,8.5,430,2.5,2
47,28.6,8.6,447,4.7,2
47,19.5,8.6,424,3,2
47,27,8.3,385,2.9,2
50,31.3,8.8,340,2.5,2
50,28.7,8.6,470,5.4,2
49,21,8.6,435,3.8,2
44.4,19.2,8.6,409,2.1,2
44,22.5,8.4,355,2.7,2
44,23.1,8,264,4.6,2
42,24.9,8.2,256,2.8,2
44,28,8.6,313,2.1,2
42,22.1,8,282,4.7,2
49,27.9,7.8,239,1.9,2
44,32.1,8.8,267,2.3,2
44,27.4,8.5,290,2,2
45,30.9,8.7,280,1.8,2
42,22.2,8.3,266,3.4,2
45,22.6,8.4,271,4,2
42,23,8.1,258,5,2
49,27.9,8.8,244,2,2
44,31.9,8.8,267,2,2
42,21.2,8.3,313,5.3,2
47,30.4,8.6,278,2.1,2
44,22,8.3,264,3.3,2
46.1,25.4,8.4,346,5.5,2
44,22.7,8.3,264,3.9,2
41,31,8.8,257,1.7,2
45,28.2,8.5,306,2.2,2
42,22.7,8.1,275,3.9,2
47,28.2,8.7,246,2.5,2
44,32.3,8.8,267,2.2,2
44,29.1,8.5,336,3.8,2
45,22.2,8.3,262,4,2
47.1,27.5,8.7,222,2.5,2
44,22.9,8.3,272,4.4,2
45,23,8.2,257,4.7,2
41,23.8,8.1,250,1.9,2
42,28.7,8.5,291,2.2,2
49,28.1,8.7,248,3.5,2
45,32,8.8,269,1.7,2
49,28.8,8.5,348,6.4,2
41,21.7,8.3,312,3.5,2
45,30.6,8.7,284,2.1,2
44,22.9,8.3,264,4.6,2
44,22.8,8.3,274,6,2
47,23.1,8.1,257,5.5,2
42,23.8,8.2,253,2.5,2
42,31.1,8.8,263,1.5,2
44,29.1,8.5,298,2.6,2
42,22.7,8.1,275,3.8,2
50,28.6,8.7,251,2.3,2
45,31.9,8.7,283,1.4,2
44,21.3,8.4,316,4.7,2
47,30.7,8.7,276,2.4,2
49,23.3,8.2,271,7.3,2
50,26.8,8.6,256,2.8,2
46,29.1,8.4,306,3.1,2
44,22.7,8.1,276,5.1,2
46,21.4,8.4,324,6.8,2
41,27.8,8.5,288,2.6,2
46,31,8.6,281,2.7,2
41,23.5,8.3,263,2.3,2
46,23.1,8.3,279,3.7,2
46,32.4,8.6,293,2.7,2
42,20.7,8,258,6.2,2
45,28.5,8.5,285,2.1,2
46,30.4,8.5,289,2.6,2
44,19.3,8.3,322,3.4,2
49,27,8.2,304,2.2,2
41,31.5,8.4,307,2.1,2
47,28.2,8.6,300,6.6,2
42,24,8.3,264,4.1,2
46,23.5,8.3,280,3.8,2
47,27,8.5,275,1.9,2
42,32.3,8.6,297,2.7,2
49,20.6,8.1,264,7.1,2
45,26.4,8.1,252,2.1,2
45,19.2,8.3,317,7.5,2
45,27.1,8.4,304,4.3,2
44,31.5,8.6,310,2.6,2
47,23.7,8.3,279,3,2
45,26.7,8.4,290,1.8,2
45,28.6,8.6,286,2,2
45,30.8,8.6,290,2.8,2
41,20,8.3,323,2.5,2
42,26.7,8.3,310,2.3,2
41,31.7,8.5,336,3.4,2
47,28.9,8.6,357,6.2,2
46,20.8,8.3,273,5.6,2
41,24,8.2,275,4.3,2
46,23.7,8.2,283,3.4,2
45,29.5,8.6,281,3.4,2
46,30.6,8.4,290,2.7,2
45,30.4,8.6,377,5.1,2
41,23.9,8.2,264,3.8,2
49,26.7,8.7,264,2.9,2
41,30.4,8.4,318,2,2
49,20.4,8.1,272,8.6,2
49,29.4,8.6,275,3.3,2
50,27.6,8.6,358,5.2,2
47,32.4,8.4,331,2.6,2
50,30.3,8.4,384,2.3,2
46,27.2,7.9,342,2.9,2
50,32.2,8.4,293,2.2,2
50,27.2,8.5,231,4.6,2
49,30.3,8.5,324,6,2
50,21.5,8,288,8.1,2
47,27.1,7.7,281,3.2,2
45,23,8,251,7.8,2
49,27.9,8.8,264,3.7,2
49,21.4,8,284,6.8,2
47,27.2,7.8,275,3.5,2
46.1,26.5,8.6,263,7.4,2
44,23,8.4,320,4.6,2
41,27.1,8.5,301,3.1,2
46,30.1,8.5,410,2.3,2
45,29.4,8.3,395,5.6,2
44,21,8.4,391,4.3,2
45,31.3,8.4,357,2.2,2
45,22.2,8.4,306,3.7,2
49,21.5,8.3,333,11,2
46,23.9,8.4,323,5.2,2
44,24.3,8.3,310,3.6,2
44,27.5,8.3,316,3.6,2
42,32,8.6,330,2.7,2
44,22.3,8.3,340,4.8,2
47,21.5,8.4,391,6.1,2
47,31.2,8.5,364,2.8,2
49,23.1,8.4,310,7.8,2
46,32.6,8.5,366,3.4,2
45,22.5,8.3,341,6.5,2
50,29.6,8.3,410,7.7,2
49,22,8.4,394,6.3,2
47,27.2,8.3,399,4.1,2
50,25.8,8.2,372,85,2
49,23.4,8.4,320,11,2
49,29.4,8.2,522,8.9,2
49,32.9,7.4,461,3.7,2
49,29.7,8.1,510,6.3,2
49,31.7,8.2,498,4.5,2
51,21.8,8.3,447,8.4,3
51,26.5,8,346,9.7,3
64,31.4,7.8,334,170,3
66,32.3,8.5,437,50,3
59,19.7,8.2,470,19,3
64,31.6,8.4,440,21,3
52,21.6,8.3,429,8.9,3
56,27.1,8.1,342,9.4,3
65,32.9,7.9,331,150,3
69,32.4,8.5,439,110,3
61,21,8.2,469,20,3
62,31.5,8.3,450,23,3
59,31.4,8.3,466,15,3
51,21.6,8.3,466,6.5,3
56.1,26.3,8.4,389,24,3
53,21.6,8.3,423,11,3
53,31.5,7.8,307,130,3
52,28.2,8.1,426,2.7,3
64,32.3,8.4,439,20,3
62,30.8,8.4,463,19,3
52,27.2,8.1,433,4.8,3
52,31,9.7,152,3.3,3
51,21.3,9,142,2,3
51,17.5,7.2,141,2.1,3
51,15.9,7.7,152,2.8,3
51,32.1,8.1,92,2.1,3
59,31.2,9.8,98,4.3,3
56,16.3,7.7,234,15,3
54,24.3,7.5,181,7.4,3
54,26.9,9.3,200,4.8,3
53,23.7,8.6,180,6.2,3
62,22.7,8.2,268,17,3
54,16.2,7.4,237,9.3,3
56,28.8,9.1,180,2.8,3
54,16.4,7.8,235,13,3
52,24.1,7.7,184,9.9,3
52,26.3,9.3,201,4.4,3
62,22.8,8.2,271,16,3
51,16.1,8,237,5.8,3
59,24.1,9,292,4.7,3
52,23.7,8.5,225,1.6,3
53,24.1,8,186,10,3
51,15.7,7.6,217,8,3
51,16.2,7.9,238,6.2,3
56,23.8,9,247,3.7,3
52.8,22.2,8.3,170,7,3
51,16.4,7.8,238,12,3
52,24,7.7,187,9.8,3
53,15.7,8,215,8.1,3
52,16.3,8.2,241,7.3,3
51,29.1,8.8,184,2.4,3
52,24.2,9,255,2.8,3
52,23.7,7.7,195,5.4,3
52,15.7,8,214,8,3
61,23,8.2,270,21,3
51,29.3,8.9,185,2.1,3
54,24.5,8.8,268,2.7,3
51,17.4,7.6,376,5.2,3
54,30.8,8.6,250,5.9,3
54,24.3,7.2,445,2.9,3
54,30,7.7,287,2.7,3
51,23,8.1,329,5.2,3
50.6,21.6,8.1,331,3,3
54,14.6,8.2,284,4.3,3
51,24.2,7.4,291,3.5,3
52,30.3,8.6,272,2.4,3
54,17.9,8.2,338,4.9,3
52,24.7,8.1,282,3.4,3
52,31,8.8,243,5.3,3
54,15.2,8.3,285,4,3
56,26.4,8.3,252,5.5,3
51,17.8,8.3,341,4.2,3
51,26.9,8.2,255,1.6,3
54,14.8,8.4,283,4.2,3
52,30.6,8.6,272,2,3
52,23,8.2,325,2.1,3
68,16.1,7.7,405,12,3
74,27,9.4,365,15,3
72,30.6,9.1,294,10,3
67,28.8,10,350,19,3
68,15.4,7.8,395,11,3
74,25.5,10.9,378,16,3
75,28,9.2,423,33,3
75,14.2,8.3,434,20,3
75,25.8,10.1,357,16,3
75.4,15.5,9.1,513,15,3
66,15.3,8,525,10,3
65,27,8.7,424,4.9,3
73,31.1,8.9,466,9.5,3
74,26.1,8.6,445,18,3
72,16.6,7.8,1090,13,3
69,25.9,8.8,938,11,3
79,31.4,8.8,1080,18,3
79,16.2,9,1070,35,3
73,28,9.6,861,15,3
72,35.1,9.4,889,12,3
66,14.4,8.6,975,20,3
73.5,23.5,9.1,749,13,3
66,29,8.7,340,6.6,3
66,31.5,9.1,315,6.8,3
70,27.8,9.2,321,7.6,3
73,31.6,9.2,391,23,3
83,27.3,8.9,459,55,3
75,13.8,8.2,462,33,3
77,24.9,10,366,23,3
72,34.2,9.2,377,18,3
79,18.9,8.9,450,17,3
62,12.8,7.4,615,18,3
65.1,20.8,8.8,410,5.6,3
62,14.3,8,323,3.5,3
61,25.9,8.2,289,2.6,3
64,30.2,8.2,261,3.3,3
65,24.7,8.8,282,5.4,3
61,33.4,9.5,302,5.9,3
65,28,9.3,303,9.4,3
67,15,8.8,310,9.5,3
68,33.4,9.1,314,9.7,3
69,19.7,8.5,354,13,3
59,12.5,7.6,331,5.4,3
64,30.4,8.6,287,3.5,3
75,15,8,1070,26,3
73,28.9,9,637,15,3
78,30.8,8.9,601,21,3
78,24.9,8.8,523,26,3
74,13.9,7.8,1300,22,3
76,25.7,8.9,1660,22,3
69,20.3,8.2,1010,27,3
67,13.7,7.9,961,23,3
73,24.5,9.4,1110,32,3
62,14.6,7.7,711,5.9,3
65,27.6,8.3,652,5,3
72,30.2,8.7,563,9.5,3
69,24.5,7.4,605,17,3
66,14.2,7.5,547,15,3
65,25.6,8.4,758,6.6,3
72,31.2,9.1,543,9.8,3
74,15.7,8.7,694,11,3
69,25.4,8.6,692,9.9,3
69,33.8,8.7,609,7.6,3
60,21.2,7.6,873,6,3
62,13.5,7.8,877,8.6,3
67,14.8,7.4,814,10,3
61,30.9,8,605,3.5,3
62,25.7,7.9,514,6.7,3
65,14.8,8.3,543,6.8,3
69,26.3,8,588,14,3
77,31.4,8.2,595,40,3
75,28.8,8.3,583,32,3
78,16,8.7,568,15,3
61,32.5,8.3,492,3.8,3
66,21.5,7.8,480,16,3
68,14.6,8.1,460,11,3
69.6,31.4,8.7,421,10,3
54,16.7,7.7,367,3.4,3
54,27.7,8.1,329,2.4,3
53,31.4,7.8,299,2.7,3
61,27.3,8.4,312,6.1,3
59,26.9,7.8,343,45,3
73,21.7,8.6,352,26,3
70,15.2,7.9,514,13,3
70,26.5,9.1,547,6.4,3
73,30.7,9.3,414,7.6,3
73,25.8,8.5,475,10,3
77,16.4,8.8,3100,16,3
74,26.4,9.9,3110,12,3
70,35.4,10,675,15,3
77,16.1,8.6,879,16,3
75,29.6,9.6,739,14,3
72,32.6,9.6,545,11,3
76,20.8,9,595,18,3
54,14.7,8.7,594,3,3
59,23.5,8.4,560,6.1,3
56,32.4,9.4,600,5.6,3
65,22.3,9.3,583,9.5,3
61,11.7,7.8,653,4.6,3
60,20.2,7.8,619,4.6,3
67,28.5,9.4,607,12,3
64,19.7,9.4,630,6.4,3
60,19.3,7.7,631,6.5,3
68,29.8,9,553,16,3
66,23.3,9.8,585,6.7,3
52,14.7,7.1,647,2.9,3
54.8,17.7,7.9,679,3.4,3
66,24.6,9.2,538,7.9,3
56,10.5,8.1,1100,3.4,3
51,22.3,8.3,2860,3.1,3
51,32.9,9,1520,4.4,3
61,21.5,9,1530,6.2,3
66,11.2,8.3,7980,7.8,3
61,18.5,8.6,6970,6,3
61,19,8.4,3610,5.8,3
53,21.8,8.6,3620,3.3,3
61,12.9,8.1,646,6.1,3
60,22.4,8.6,609,4.5,3
61,10.9,8.3,717,8.7,3
64,18.8,8.4,661,5.6,3
62,28.7,8.6,652,5,3
68,19.4,9,633,5.2,3
64,12.7,8.3,716,9.8,3
65,21.4,8.8,849,12,3
62,13.2,7.7,658,5.1,3
52,20.1,7.9,598,3.1,3
61,20.5,8.6,635,5.3,3
54,13.1,8,678,2.8,3
60,19.9,7.8,634,4.7,3
54,22.7,8.2,653,5.5,3
51,12.3,7.2,647,2.2,3
58.7,30.5,8.8,586,9.2,3
62,23.4,8.9,521,5.8,3
56,13.5,8.1,570,3.3,3
60,28.3,9.4,576,3.3,3
76,19,7.5,737,26,3
62,20.2,7.5,596,5.9,3
65,31.1,8.9,483,21,3
60,21.8,9.1,567,7.5,3
60,12.4,7.5,645,5.2,3
56,12,7.3,740,3.6,3
53,13.9,8.3,553,3.5,3
59,32.7,8.8,535,5.2,3
56,22.9,8.6,548,4.8,3
61,20.5,8,539,7.3,3
61,19.7,7.6,521,6.3,3
54,32.1,8.9,477,3.6,3
62,16.7,7.4,610,7.5,3
59,14,8,563,2,3
62,22.7,7.6,521,2.6,3
70,20.3,7,516,3.1,3
64,12.4,7.8,590,2.1,3
69,20.2,7.6,599,8.1,3
54,19.4,9.1,597,2,3
66,13.1,9,611,6.1,3
68,19.7,7.6,522,8.4,3
77,31.4,9.4,500,36,3
65,15.1,7.2,654,3.5,3
52,14.3,8.3,958,2.7,3
51,18.3,8,521,2.1,3
56,12.3,8.4,688,5,3
54,31.8,8.6,628,3.1,3
62,22.3,9.3,770,5.5,3
52,9.3,7.2,850,6.1,3
54,15.6,8.2,672,3.4,3
56,24.6,8.4,637,3,3
67,33.2,9.4,814,7.1,3
61,11.5,8.2,689,2.6,3
66,18.9,8.3,782,6.5,3
65,28.9,9.3,673,13,3
60,22.7,9.3,902,12,3
60,10.8,8.1,714,6.4,3
66,20,7.4,677,9.6,3
70,31.7,9.2,808,20,3
75,23.1,9.7,637,27,3
51,13.2,8.2,629,3.1,3
54,22,8.3,713,4.2,3
56,27.4,9.4,766,5.8,3
51,11.7,8.3,708,3.4,3
59,17.6,8.3,662,5.3,3
51,14,7.7,829,3,3
56,22.3,8.9,844,3.6,3
53,21.7,7.2,652,8.1,3
54,11.8,8,821,15,3
64,31.1,8.8,664,27,3
61,21.4,8.7,876,15,3
54,9.6,7.2,837,18,3
56.1,10,8.2,704,4.9,3
51,25.6,8.4,448,9.5,3
56.1,24.4,8.5,344,9.9,3
54,21.4,8.4,362,7.2,3
54,20.7,8.5,366,7.9,3
52.8,23,8.5,309,8.6,3
52,25,8.7,292,7.6,3
52,21.4,8.2,329,7.8,3
51,24.2,9,229,1.1,3
59,22.5,9,222,3.1,3
54,16.3,8.2,273,18,3
53,15.6,8.3,280,7.5,3
53,26.1,9,247,4.5,3
52,27.1,8.8,307,3.9,3
53,25,8.4,406,2.9,3
51,26.8,9.2,252,3.4,3
51,27.6,8.8,310,3.1,3
51,24.4,8.4,396,1.9,3
52,23.5,8.6,466,1.8,3
54,19,8.2,258,5.8,3
53,17.5,8.2,272,7.6,3
54,33.5,8.8,242,6.2,3
51,26.1,8.9,231,2.1,3
56,16.9,7.5,232,12,3
56,28.5,8.6,238,4.4,3
54,32.7,8.3,265,3.1,3
53,18.6,8.3,254,3.9,3
52,18,8.2,264,5.9,3
51,23.2,9,233,2.3,3
59,26.2,8.6,217,4.9,3
51,26.5,9.1,208,3,3
51,18,8,264,3.7,3
53,32.4,8.7,256,3.1,3
53,28.5,7.5,235,2.9,3
53,26.7,9.1,231,2.6,3
56,18.7,8.6,249,4.2,3
52,19.5,8.3,264,7.3,3
51,22.9,9.1,230,2.1,3
59,25.9,8.8,186,4.9,3
52,26.2,9.2,207,2.5,3
53,28.1,8.6,219,3.2,3
52,32.8,8.7,255,2.7,3
54,26.3,8.8,310,4,3
51,31.8,8.1,252,2.2,3
54.5,27.6,8.8,221,2.9,3
52,31.7,8.6,350,2.9,3
51,26.2,8.8,227,2.5,3
51,27.6,8.4,374,8.1,3
51,26.6,8.8,230,2.5,3
51,27.4,8.3,352,8.3,3
52,26.6,8.9,228,2.3,3
52,27.1,8.3,352,12,3
53,25.5,8.3,349,9.8,3
52,26.4,8.8,233,2.6,3
51,26.9,8.7,242,2,3
52,24.2,8.2,274,8.6,3
51,28.8,8.6,257,3.5,3
51,21.1,8.4,275,13,3
51.8,24.4,7.8,214,16,3
51,21.9,8.3,259,7.7,3
54,28,8.6,308,10,3
53,21.2,8.2,274,9.9,3
52,21.2,8.4,277,13,3
52,21.8,8.2,260,10,3
53,21.4,8.4,296,12,3
52,21.3,8.2,263,11,3
51,31,8.4,307,7.1,3
51,32.5,8.3,348,4.5,3
54,29.6,8.3,406,4.8,3
56,21,8.3,347,12,3
56,22.9,8,373,13,3
60,26.4,8,312,17,3
54,30.9,8,407,9.6,3
52,21.1,8.1,395,9.4,3
51,22,8.7,327,6.5,3
51.8,26.2,8,265,2.9,3
52,21.7,7.8,202,17,3
51,23.5,8.3,191,9.7,3
52,31.4,9,229,3.2,3
53,31.7,8.9,301,5.6,3
54,21.7,7.9,272,16,3
52,27.8,8.8,280,4.9,3
67,30.5,9.3,258,11,3
56,27.7,8.3,253,31,3
51,22.3,8.3,210,13,3
54,21.7,7.7,203,15,3
53,23.5,8.3,191,9.8,3
51,31.6,9,229,3.5,3
54,31.6,8.9,301,4.9,3
53,21.7,7.8,280,16,3
61,31.6,9.3,255,5.8,3
52,22.8,8.2,210,12,3
52.7,26.5,8.5,225,3.6,3
53,29.7,8.4,402,13,3
56,24.9,8.1,373,16,3
52,28.9,8.3,406,8.1,3
56,26.5,8.1,375,60,3
53,31.2,8.5,484,9.7,3
52,32.1,8.3,381,4.7,3
53,32.1,8.2,428,7,3
62,21.6,8.3,603,10,3
52,26.9,8.2,582,2.9,3
53,31.4,8.2,468,5.7,3
62,21.1,8.2,548,45,3
54,24,8.1,606,13,3
54,22.1,8,550,8.9,3
53,32,8.3,406,7.9,3
53,20.7,8.2,556,6.4,3
56,30.6,8.1,593,10,3
68,22.2,8.2,628,45,3
62,23.4,8.2,583,40,3
52.8,29.5,8.1,445,15,3
60,24.7,8.1,616,60,3
66,23.1,8.2,622,70,3
61,22.2,8,591,36,3
56,21.4,8.1,505,29,3
60,28.8,8.1,546,2.5,3
54,31.6,8.3,427,7,3
59,29.9,8.1,590,9,3
53,27.3,8.2,549,5.9,3
54,31.8,8.1,481,9.2,3
60,23.5,8.3,578,13,3
51.8,29.5,8.2,440,7.8,3
59,22.4,8.2,614,19,3
53,32,8.3,480,5.4,3
60,20.4,8.2,511,13,3
53,28.7,8.1,538,8.6,3
52,29.9,8.1,589,3.3,3
60,21.8,8.3,601,10,3
54.4,29.6,8.2,441,13,3
76,23.6,7.7,726,7.5,3
76,25,8,600,12,3
68,25.8,7.8,575,11,3
78,31.8,8.9,432,15,3
79,31.4,8.3,648,55,3
83,21.8,7.5,574,15,3
75,27.6,7.5,557,11,3
76,32,8.1,430,22,3
79,23.3,7.8,727,8.9,3
74,25,8,597,9.6,3
68,25.9,7.8,578,8.6,3
77,32.3,8.8,440,17,3
77,30.5,7.9,662,23,3
78,21.7,7.5,582,10,3
78,31.2,7.6,774,6.7,3
83,23,7.6,684,15,3
77,31.7,8.1,432,15,3
72,24.8,8,597,6.6,3
67,25.9,7.8,570,8.8,3
75,32.2,8.8,436,11,3
78,31,8.3,626,14,3
76,21.5,7.4,583,11,3
78,31.7,8.3,462,14,3
79,31.4,7.7,775,6.4,3
83,22.7,7.6,682,14,3
79,27.1,7.6,560,10,3
74,31.8,8.1,430,11,3
76,27.9,7.6,594,11,3
76,25.4,7.5,758,4.8,3
83,22.7,7.9,720,8.6,3
74,24.7,8,599,5.8,3
64,25.9,7.6,577,7.3,3
74,31.7,8.8,462,8.1,3
78,31.6,8.3,626,13,3
75,21.1,7.5,593,6,3
79,28.6,8.6,549,14,3
77,31.8,7.7,493,8,3
74,31.3,7.6,812,5.6,3
73,27.1,7.4,566,7.4,3
70,31.5,7.7,416,7.1,3
77,31.2,7.7,705,8.1,3
69,26.8,7.8,560,5.9,3
52,25.8,8.4,231,3.9,3
53,19.3,8.4,270,6.8,3
56,25,8.2,242,6.6,3
59,29.9,9.3,210,8.4,3
53,25.4,8.3,233,3.5,3
52,25.8,8.7,280,2.4,3
61,29,9.1,230,3.2,3
51,28.4,8.7,303,3.3,3
53,19.3,8.3,264,7.2,3
56,25,8.1,244,6.4,3
62,29.6,9.3,216,7.7,3
51,25.5,7.8,252,3.8,3
51,32.6,8.7,262,2.6,3
70,29.9,9.2,232,4.7,3
52,19.3,8.4,272,7.7,3
59,29.7,9,234,8.7,3
54,26.9,8.7,1060,2.7,3
59,32.2,8.5,1040,3.1,3
60,17.4,8.8,968,5.8,3
59,23.7,8.7,933,5.1,3
53,31.7,8.6,1230,3.2,3
67,21.2,8.7,1470,19,3
66,16.8,8.7,1420,16,3
53,24.8,8.4,1210,7.4,3
53,32.6,8.9,1310,8.3,3
62,19.1,8.8,1540,10,3
59,17.5,8.7,1540,9.9,3
56,25.3,8.4,888,2.6,3
54,32.1,8.6,1260,4,3
67,22.8,8.9,1420,11,3
61,17.9,8.8,1350,7.6,3
54,26,8.6,1180,3.6,3
56,32.6,8.8,1300,4.6,3
61,23.1,8.6,1420,5.9,3
62,18.8,8.8,1330,7.5,3
58.7,27,8.5,1320,4.1,3
50.6,32.2,8.7,1230,2.4,3
52.8,29.3,8.6,1360,3.2,3
54.8,18,8.7,1380,3.7,3
59,16.7,8.9,1040,6.3,3
56,26.7,8.7,999,2.8,3
60,32.9,8.8,906,6,3
68,24.7,8.7,1260,14,3
62,17.7,8.9,923,9.5,3
54,24.4,8.6,924,2.7,3
52,32.1,8.7,1330,2.5,3
66,23.2,8.9,1640,14,3
68,18.4,8.9,1590,16,3
51,26,8.6,1270,4.9,3
53,33.7,8.8,1310,3.9,3
65,22.4,9.1,1430,10,3
52,33.6,8.7,2120,5.6,3
56,22.9,8.7,2060,5.2,3
54,18.2,8.8,1880,5.1,3
54,26.5,8.6,1820,4.9,3
54,23.4,8.7,1740,5,3
52,19.5,8.7,1540,3.9,3
54.5,26.9,8.6,1630,4.2,3
59,16.7,8.7,1470,4.8,3
51,26.6,8.4,1420,2.2,3
54,18.2,8.4,877,4.7,3
56,33.9,8.8,1120,4.9,3
65,22.1,8.9,1070,12,3
56,17.9,8.7,1090,5.2,3
51,33.7,8.6,1460,3.6,3
60,22.3,8.8,1760,8.7,3
56,18.8,8.8,1540,3.9,3
60,27.4,8.9,1080,4.1,3
65,32.4,9,710,7.3,3
62,25,8.1,778,4.7,3
61,18.7,8.3,596,6.6,3
60,30.1,8.1,451,3.2,3
60,16.5,8.1,272,85,3
51,13.7,7.8,328,3.2,3
56,23.1,8.7,267,2.2,3
62,25.6,9,236,2.8,3
52,33.8,8.6,234,3.4,3
68,34.2,9.4,194,8.4,3
61,22.3,8.2,388,5,3
62,26.6,8.7,201,9.2,3
64,33,9.3,180,4.9,3
70,17.2,8.3,276,3.8,3
56.1,19.6,9,266,3.8,3
56,16.2,8.1,250,25,3
54,23,7.6,215,12,3
51,29.6,9,175,2.1,3
54,15.3,8,255,11,3
51,23.2,8.4,237,4.4,3
67,23.3,8,311,45,3
54,16.4,7.2,251,22,3
51,29.5,8.8,187,2,3
51,24.1,8.4,295,7.7,3
51.8,22.2,7.9,178,9.8,3
54.5,22.4,8.5,223,3.5,3
52,25,7.7,276,4.4,3
54,16.3,8.2,299,1.9,3
53,16.4,7.7,320,3,3
