"6.299";"2017-01-19 14:52:30"
"6.0676";"2017-01-19 14:52:31"
"6.2634";"2017-01-19 14:52:32"
"6.3702";"2017-01-19 14:52:33"
"6.3524";"2017-01-19 14:52:34"
"6.3702";"2017-01-19 14:52:35"
"5.943";"2017-01-19 14:52:36"
"6.388";"2017-01-19 14:52:37"
"6.4058";"2017-01-19 14:52:38"
"6.4414";"2017-01-19 14:52:39"
"5.9786";"2017-01-19 14:52:40"
"6.4058";"2017-01-19 14:52:41"
"5.9786";"2017-01-19 14:52:42"
"6.388";"2017-01-19 14:52:43"
"6.3702";"2017-01-19 14:52:44"
"6.032";"2017-01-19 14:52:45"
"6.0498";"2017-01-19 14:52:46"
"6.2634";"2017-01-19 14:52:47"
"6.1032";"2017-01-19 14:52:48"
"6.0498";"2017-01-19 14:52:49"
"6.2812";"2017-01-19 14:52:50"
"6.0854";"2017-01-19 14:52:51"
"6.299";"2017-01-19 14:52:52"
"5.9964";"2017-01-19 14:52:53"
"6.3702";"2017-01-19 14:52:54"
"6.4058";"2017-01-19 14:52:55"
"6.4236";"2017-01-19 14:52:56"
"6.4414";"2017-01-19 14:52:57"
"6.4414";"2017-01-19 14:52:58"
"6.4058";"2017-01-19 14:52:59"
"6.3702";"2017-01-19 14:53:00"
"6.3702";"2017-01-19 14:53:01"
"6.2812";"2017-01-19 14:53:02"
"6.0854";"2017-01-19 14:53:03"
"6.3168";"2017-01-19 14:53:04"
"6.2812";"2017-01-19 14:53:05"
"6.1032";"2017-01-19 14:53:06"
"6.0854";"2017-01-19 14:53:07"
"6.0854";"2017-01-19 14:53:08"
"6.0676";"2017-01-19 14:53:09"
"6.0498";"2017-01-19 14:53:10"
"6.3168";"2017-01-19 14:53:11"
"5.9786";"2017-01-19 14:53:12"
"6.3524";"2017-01-19 14:53:13"
"5.9964";"2017-01-19 14:53:14"
"6.3702";"2017-01-19 14:53:15"
"6.4058";"2017-01-19 14:53:16"
"6.4236";"2017-01-19 14:53:17"
