"1.50434","2017-02-07 21:30:29"
"1.14754","2017-02-07 21:40:04"
"2.21794","2017-02-07 21:43:13"
"2.20829","2017-02-07 21:48:14"
"1.57184","2017-02-07 22:32:27"
"1.64417","2017-02-07 22:52:33"
"2.20829","2017-02-07 22:56:24"
"2.21794","2017-02-07 23:23:37"
"2.20829","2017-02-07 23:45:39"
"2.21794","2017-02-08 00:20:40"
"1.50916","2017-02-08 00:40:41"
"2.20347","2017-02-08 00:50:02"
"1.66827","2017-02-08 02:07:58"
"1.50434","2017-02-08 02:40:34"
"2.22276","2017-02-08 03:47:22"
"1.52363","2017-02-08 04:03:12"
"1.50434","2017-02-08 04:49:08"
"2.22276","2017-02-08 05:19:58"
"2.20347","2017-02-08 05:37:36"
"1.50916","2017-02-08 05:56:45"
"1.57184","2017-02-08 06:02:15"
"1.69238","2017-02-08 06:57:34"
"2.20829","2017-02-08 07:05:17"
"1.50434","2017-02-08 07:11:11"
"1.75506","2017-02-08 07:14:22"
"2.22276","2017-02-08 07:34:37"
"1.71649","2017-02-08 07:50:12"
"2.21311","2017-02-08 08:54:44"
"1.65381","2017-02-08 08:57:50"
"2.21794","2017-02-08 09:18:25"
"1.5622","2017-02-08 10:08:12"
"1.51398","2017-02-08 10:32:33"
"-0.564127","2017-02-08 10:40:11"
"2.21311","2017-02-08 10:46:20"
"2.21311","2017-02-08 10:51:07"
"2.29508","2017-02-08 11:02:12"
"-0.024108","2017-02-08 11:02:13"
"1.50434","2017-02-08 11:07:21"
"2.29508","2017-02-08 11:19:23"
"1.66827","2017-02-08 11:20:14"
"2.21311","2017-02-08 11:42:03"
"1.65381","2017-02-08 12:05:34"
"1.70203","2017-02-08 12:44:22"
"1.50916","2017-02-08 13:26:46"
"2.21311","2017-02-08 13:44:35"
"1.61524","2017-02-08 14:25:42"
"-0.564127","2017-02-08 14:31:47"
"1.79846","2017-02-08 14:42:20"
"1.6297","2017-02-09 00:46:13"
"1.7406","2017-02-11 02:39:51"
"1.59113","2017-02-13 12:36:21"
"1.50434","2017-02-13 12:38:49"
"1.50434","2017-02-13 12:41:52"
"1.50434","2017-02-13 12:43:42"
"2.16008","2017-02-13 12:45:10"
"1.50434","2017-02-13 12:48:33"
"1.50434","2017-02-13 12:50:44"
"1.53809","2017-02-13 12:54:35"
"1.50434","2017-02-13 12:56:35"
"1.50434","2017-02-13 12:56:48"
"1.50434","2017-02-13 12:58:04"
"1.64417","2017-02-13 13:04:18"
"1.50434","2017-02-13 13:08:24"
